repeat,items,salesAMT/total,Mcode
3,2,0.174436965,2
3,2,0.211537531,2
3,2,0.271087842,2
3,2,0.336591976,2
3,2,0.554475193,2
3,2,0.451870493,2
3,1,0.142424496,5
3,1,0.327687038,5
3,1,0.529888467,5
3,1,0.161757039,5
3,1,0.301405711,5
3,1,0.53683725,5
3,1,0.176700779,4
3,1,0.281709958,4
3,1,0.541589263,4
3,1,0.187921195,5
3,1,0.377032325,5
3,1,0.435046481,5
2,1,0.329895105,4
2,1,0.670104895,4
3,1,0.176032185,5
3,1,0.307498139,5
3,1,0.516469676,5
2,1,0.289324584,5
2,1,0.710675416,5
2,2,0.217569263,2
2,2,0.305878036,2
2,2,0.782430737,2
2,2,0.694121964,2
3,1,0.163767595,4
3,1,0.375912366,4
3,1,0.460320039,4
2,1,0.344902522,5
2,1,0.655097478,5
1,1,1,5
3,1,0.189551957,5
3,1,0.329812059,5
3,1,0.480635983,5
3,1,0.239597492,5
3,1,0.348692459,5
3,1,0.411710048,5
3,1,0.192151286,5
3,1,0.363885843,5
3,1,0.443962871,5
3,2,0.221029509,4
3,2,0.154372114,4
3,2,0.353825188,4
3,2,0.473739869,4
3,2,0.425145304,4
3,2,0.371888017,4
3,1,0.105755744,4
3,1,0.347677989,4
3,1,0.546566267,4
2,1,0.328642591,5
2,1,0.671357409,5
3,1,0.188310469,4
3,1,0.321959898,4
3,1,0.489729633,4
3,2,0.176146895,2
3,2,0.251984205,2
3,2,0.347109592,2
3,2,0.331977949,2
3,2,0.476743513,2
3,2,0.416037847,2
3,1,0.21995987,4
3,1,0.353778102,4
3,1,0.426262027,4
3,1,0.272551857,3
3,1,0.319656082,3
3,1,0.40779206,3
3,1,0.210624234,3
3,1,0.364772871,3
3,1,0.424602895,3
3,1,0.16753291,5
3,1,0.316837694,5
3,1,0.515629396,5
3,1,0.170139545,4
3,1,0.310966558,4
3,1,0.518893897,4
3,4,0.091702559,2
3,4,0.218583639,2
3,4,0.086272912,2
3,4,0.223142942,2
3,4,0.344856853,2
3,4,0.319267399,2
3,4,0.383217923,2
3,4,0.444608859,2
3,4,0.563440588,2
3,4,0.462148962,2
3,4,0.530509165,2
3,4,0.3322482,2
2,1,0.309531486,5
2,1,0.690468514,5
3,4,0.189376054,1
3,4,0.054791214,1
3,4,0.079491342,1
3,4,0.238021238,1
3,4,0.333539442,1
3,4,0.427999035,1
3,4,0.575054113,1
3,4,0.408443408,1
3,4,0.477084504,1
3,4,0.517209751,1
3,4,0.345454545,1
3,4,0.353535354,1
3,1,0.262060967,5
3,1,0.361957378,5
3,1,0.375981655,5
2,1,0.33377123,5
2,1,0.66622877,5
