index,time,exposure_time,mcode,product_code,product_name,category,price,salesAMT,time_month,time_day,time_hour,time_min,day_of_the_week,day_of_year,quater,season,sales,FP,UFP,discomfort_index,p_div,pgr1,pgr2,pgr3,pgr1_ratio,pgr2_ratio,pgr3_ratio
0,2019-01-01 6:00,60,100346,201072,테이트 남성 셀린니트3종,clothes,39900,12033000,1,1,6,0,1,1,1,3,301.5789474,43.24,29.2,32.72125,3,2099000,3262000,6672000,0.174436965,0.271087842,0.554475193
1,2019-01-01 6:00,60,100346,201079,테이트 여성 셀린니트3종,clothes,39900,20663000,1,1,6,0,1,1,1,3,517.8696742,43.24,29.2,32.72125,3,4371000,6955000,9337000,0.211537531,0.336591976,0.451870493
6,2019-01-01 7:00,60,100305,200974,오모떼 레이스 파운데이션 브라,underwear,59000,47878000,1,1,7,0,1,1,1,3,811.4915254,41.68,28.6,32.72125,3,6819000,15689000,25370000,0.142424496,0.327687038,0.529888467
9,2019-01-01 8:00,60,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,clothes,59900,99736000,1,1,8,0,1,1,1,3,1665.041736,38.44,25.36,32.72125,3,16133000,30061000,53542000,0.161757039,0.301405711,0.53683725
12,2019-01-01 9:00,60,100816,202404,보코 리버시블 무스탕,clothes,79000,90973000,1,1,9,0,1,1,1,3,1151.556962,44.36,28.88,32.72125,3,16075000,25628000,49270000,0.176700779,0.281709958,0.541589263
15,2019-01-01 10:00,60,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,clothes,79900,259678000,1,1,10,0,1,1,1,3,3250.037547,42.6,29.28,32.72125,3,48799000,97907000,112972000,0.187921195,0.377032325,0.435046481
18,2019-01-01 11:00,40,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,underwear,69900,74360000,1,1,11,0,1,1,1,3,1063.805436,40.48,28.32,32.72125,2,24531000,49829000,0,0.329895105,0.670104895,0
20,2019-01-01 12:00,60,100088,200236,에코라믹 통주물 스톤 냄비세트,kitchen,60900,192141000,1,1,12,0,1,1,1,3,3155.024631,38.6,26.72,32.72125,3,33823000,59083000,99235000,0.176032185,0.307498139,0.516469676
23,2019-01-01 13:00,60,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,underwear,109000,111546000,1,1,13,0,1,1,1,3,1023.357798,38.96,27.28,32.72125,2,32273000,79273000,0,0.289324584,0.710675416,0
25,2019-01-01 14:00,60,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,clothes,119000,51795000,1,1,14,0,1,1,1,3,435.2521008,41.24,28.24,32.72125,2,11269000,40526000,0,0.217569263,0.782430737,0
26,2019-01-01 14:00,60,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,clothes,119000,68135000,1,1,14,0,1,1,1,3,572.5630252,41.24,28.24,32.72125,2,20841000,47294000,0,0.305878036,0.694121964,0
29,2019-01-01 15:00,60,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,food,60900,86177000,1,1,15,0,1,1,1,3,1415.057471,41,26.8,32.72125,3,14113000,32395000,39669000,0.163767595,0.375912366,0.460320039
32,2019-01-01 16:00,40,100322,201479,국내산 손질갑오징어 8팩,food,49900,176244000,1,1,16,0,1,1,1,3,3531.943888,36,23.8,32.72125,2,60787000,115457000,0,0.344902522,0.655097478,0
34,2019-01-01 16:40,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,food,61000,83893000,1,1,16,40,1,1,1,3,1375.295082,36,23.8,32.72125,1,83893000,0,0,1,0,0
35,2019-01-01 17:00,60,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),beauty,39800,222836000,1,1,17,0,1,1,1,3,5598.894472,34.76,23.12,32.72125,3,42239000,73494000,107103000,0.189551957,0.329812059,0.480635983
38,2019-01-01 18:00,60,100435,201350,우리바다 손질왕꼬막 24팩,food,39900,246455000,1,1,18,0,1,1,1,3,6176.817043,33.96,22.32,32.72125,3,59050000,85937000,101468000,0.239597492,0.348692459,0.411710048
41,2019-01-01 19:00,60,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,underwear,119000,190579000,1,1,19,0,1,1,1,3,1601.504202,31.92,20.2,32.72125,3,36620000,69349000,84610000,0.192151286,0.363885843,0.443962871
44,2019-01-01 20:00,60,100150,200533,일시불 LG 통돌이 세탁기,electronics,439000,160698000,1,1,20,0,1,1,1,3,366.0546697,31.4,19.24,32.72125,3,35519000,56859000,68320000,0.221029509,0.353825188,0.425145304
45,2019-01-01 20:00,60,100150,200465,무이자 LG 통돌이 세탁기,electronics,489000,123876000,1,1,20,0,1,1,1,3,253.3251534,31.4,19.24,32.72125,3,19123000,58685000,46068000,0.154372114,0.473739869,0.371888017
50,2019-01-01 21:00,60,100049,202044,마리노블 밍크 롱코트,clothes,499000,154715000,1,1,21,0,1,1,1,3,310.0501002,29.64,17.36,32.72125,3,16362000,53791000,84562000,0.105755744,0.347677989,0.546566267
53,2019-01-01 22:00,60,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,clothes,299000,115831000,1,1,22,0,1,1,1,3,387.3946488,26.56,14.48,32.72125,2,38067000,77764000,0,0.328642591,0.671357409,0
55,2019-01-01 23:00,60,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,underwear,89900,122537000,1,1,23,0,1,1,1,3,1363.036707,25.68,15.16,32.72125,3,23075000,39452000,60010000,0.188310469,0.321959898,0.489729633
58,2019-01-02 0:00,60,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,clothes,69900,34528000,1,1,24,0,1,2,1,3,493.962804,24.12,15.2,32.72125,3,6082000,11985000,16461000,0.176146895,0.347109592,0.476743513
