방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가, 취급액 
2019-01-01 6:00,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","2,099,000"
2019-01-01 6:00,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","4,371,000"
2019-01-01 6:20,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","3,262,000"
2019-01-01 6:20,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","6,955,000"
2019-01-01 6:40,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","6,672,000"
2019-01-01 6:40,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","9,337,000"
2019-01-01 7:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","6,819,000"
2019-01-01 7:20,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","15,689,000"
2019-01-01 7:40,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","25,370,000"
2019-01-01 8:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","16,133,000"
2019-01-01 8:20,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","30,061,000"
2019-01-01 8:40,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","53,542,000"
2019-01-01 9:00,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","16,075,000"
2019-01-01 9:20,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","25,628,000"
2019-01-01 9:40,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","49,270,000"
2019-01-01 10:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","48,799,000"
2019-01-01 10:20,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","97,907,000"
2019-01-01 10:40,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","112,972,000"
2019-01-01 11:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,"69,900","24,531,000"
2019-01-01 11:20,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,"69,900","49,829,000"
2019-01-01 12:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","33,823,000"
2019-01-01 12:20,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","59,083,000"
2019-01-01 12:40,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","99,235,000"
2019-01-01 13:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","32,273,000"
2019-01-01 13:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","79,273,000"
2019-01-01 14:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,"119,000","11,269,000"
2019-01-01 14:00,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,"119,000","20,841,000"
2019-01-01 14:30,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,"119,000","40,526,000"
2019-01-01 14:30,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,"119,000","47,294,000"
2019-01-01 15:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","14,113,000"
2019-01-01 15:20,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","32,395,000"
2019-01-01 15:40,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","39,669,000"
2019-01-01 16:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,"49,900","60,787,000"
2019-01-01 16:20,20,100322,201479,국내산 손질갑오징어 8팩,농수축,"49,900","115,457,000"
2019-01-01 16:40,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,"61,000","83,893,000"
2019-01-01 17:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","42,239,000"
2019-01-01 17:20,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","73,494,000"
2019-01-01 17:40,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","107,103,000"
2019-01-01 18:00,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","59,050,000"
2019-01-01 18:20,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","85,937,000"
2019-01-01 18:40,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","101,468,000"
2019-01-01 19:00,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","36,620,000"
2019-01-01 19:20,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","69,349,000"
2019-01-01 19:40,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","84,610,000"
2019-01-01 20:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","35,519,000"
2019-01-01 20:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","19,123,000"
2019-01-01 20:20,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","56,859,000"
2019-01-01 20:20,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","58,685,000"
2019-01-01 20:40,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","68,320,000"
2019-01-01 20:40,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","46,068,000"
2019-01-01 21:00,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","16,362,000"
2019-01-01 21:20,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","53,791,000"
2019-01-01 21:40,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","84,562,000"
2019-01-01 22:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","38,067,000"
2019-01-01 22:30,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","77,764,000"
2019-01-01 23:00,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","23,075,000"
2019-01-01 23:20,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","39,452,000"
2019-01-01 23:40,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","60,010,000"
2019-01-02 0:00,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","6,082,000"
2019-01-02 0:00,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","6,445,000"
2019-01-02 0:20,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","11,985,000"
2019-01-02 0:20,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","8,491,000"
2019-01-02 0:40,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","16,461,000"
2019-01-02 0:40,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","10,641,000"
2019-01-02 1:00,20,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","9,647,000"
2019-01-02 1:20,20,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","15,516,000"
2019-01-02 1:40,17,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","18,695,000"
2019-01-02 6:00,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","9,605,000"
2019-01-02 6:20,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","11,265,000"
2019-01-02 6:40,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","14,371,000"
