month,day,요일,hour,minute,노출(분),repeat,상품군,마더코드,상품코드,items,상품명,pay_type,판매단가,취급액/total,취급액
1,1,1,6,0,20,3,의류,100346,201072,2,테이트 남성 셀린니트3종,0,39900,0.174436965,2099000
1,1,1,6,0,20,3,의류,100346,201079,2,테이트 여성 셀린니트3종,0,39900,0.211537531,4371000
1,1,1,6,20,20,3,의류,100346,201072,2,테이트 남성 셀린니트3종,0,39900,0.271087842,3262000
1,1,1,6,20,20,3,의류,100346,201079,2,테이트 여성 셀린니트3종,0,39900,0.336591976,6955000
1,1,1,6,40,20,3,의류,100346,201072,2,테이트 남성 셀린니트3종,0,39900,0.554475193,6672000
1,1,1,6,40,20,3,의류,100346,201079,2,테이트 여성 셀린니트3종,0,39900,0.451870493,9337000
1,1,1,7,0,20,3,속옷,100305,200974,1,오모떼 레이스 파운데이션 브라,0,59000,0.142424496,6819000
1,1,1,7,20,20,3,속옷,100305,200974,1,오모떼 레이스 파운데이션 브라,0,59000,0.327687038,15689000
1,1,1,7,40,20,3,속옷,100305,200974,1,오모떼 레이스 파운데이션 브라,0,59000,0.529888467,25370000
1,1,1,8,0,20,3,의류,100808,202377,1,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,0,59900,0.161757039,16133000
1,1,1,8,20,20,3,의류,100808,202377,1,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,0,59900,0.301405711,30061000
1,1,1,8,40,20,3,의류,100808,202377,1,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,0,59900,0.53683725,53542000
1,1,1,9,0,20,3,의류,100816,202404,1,보코 리버시블 무스탕,0,79000,0.176700779,16075000
1,1,1,9,20,20,3,의류,100816,202404,1,보코 리버시블 무스탕,0,79000,0.281709958,25628000
1,1,1,9,40,20,3,의류,100816,202404,1,보코 리버시블 무스탕,0,79000,0.541589263,49270000
1,1,1,10,0,20,3,의류,100809,202395,1,CERINI by PAT 남성 풀패키지 기모니트 3종,0,79900,0.187921195,48799000
1,1,1,10,20,20,3,의류,100809,202395,1,CERINI by PAT 남성 풀패키지 기모니트 3종,0,79900,0.377032325,97907000
1,1,1,10,40,20,3,의류,100809,202395,1,CERINI by PAT 남성 풀패키지 기모니트 3종,0,79900,0.435046481,112972000
1,1,1,11,0,20,2,속옷,100664,201999,1,크로커다일 The 편안한 코튼 브라팬티 4세트,0,69900,0.329895105,24531000
1,1,1,11,20,20,2,속옷,100664,201999,1,크로커다일 The 편안한 코튼 브라팬티 4세트,0,69900,0.670104895,49829000
1,1,1,12,0,20,3,주방,100088,200236,1,에코라믹 통주물 스톤 냄비세트,0,60900,0.176032185,33823000
1,1,1,12,20,20,3,주방,100088,200236,1,에코라믹 통주물 스톤 냄비세트,0,60900,0.307498139,59083000
1,1,1,12,40,20,3,주방,100088,200236,1,에코라믹 통주물 스톤 냄비세트,0,60900,0.516469676,99235000
1,1,1,13,0,30,2,속옷,100305,200970,1,오모떼 360도 텐션업 레이스 패키지 시즌4,0,109000,0.289324584,32273000
1,1,1,13,30,30,2,속옷,100305,200970,1,오모떼 360도 텐션업 레이스 패키지 시즌4,0,109000,0.710675416,79273000
1,1,1,14,0,30,2,의류,100377,201220,2,그렉노먼 남성 구스다운 롱 벤치코트,0,119000,0.217569263,11269000
1,1,1,14,0,30,2,의류,100377,201226,2,그렉노먼 여성 구스다운 롱 벤치코트,0,119000,0.305878036,20841000
1,1,1,14,30,30,2,의류,100377,201220,2,그렉노먼 남성 구스다운 롱 벤치코트,0,119000,0.782430737,40526000
1,1,1,14,30,30,2,의류,100377,201226,2,그렉노먼 여성 구스다운 롱 벤치코트,0,119000,0.694121964,47294000
1,1,1,15,0,20,3,농수축,100496,201497,1,뽕셰프 이봉원 특갈비탕 12팩,0,60900,0.163767595,14113000
1,1,1,15,20,20,3,농수축,100496,201497,1,뽕셰프 이봉원 특갈비탕 12팩,0,60900,0.375912366,32395000
1,1,1,15,40,20,3,농수축,100496,201497,1,뽕셰프 이봉원 특갈비탕 12팩,0,60900,0.460320039,39669000
1,1,1,16,0,20,2,농수축,100322,201479,1,국내산 손질갑오징어 8팩,0,49900,0.344902522,60787000
1,1,1,16,20,20,2,농수축,100322,201479,1,국내산 손질갑오징어 8팩,0,49900,0.655097478,115457000
1,1,1,16,40,20,2,농수축,100849,202512,2,멋진밥상 흥양농협 햅쌀 20kg,0,61000,0.533036401,83893000
1,1,1,17,0,20,2,이미용,100074,200197,2,비버리힐스폴로클럽 남성기초세트(2018FW골드),0,39800,0.282834032,42239000
1,1,1,17,20,20,2,이미용,100074,200197,2,비버리힐스폴로클럽 남성기초세트(2018FW골드),0,39800,0.466963599,73494000
1,1,1,17,40,20,2,이미용,100074,200197,2,비버리힐스폴로클럽 남성기초세트(2018FW골드),0,39800,0.717165968,107103000
1,1,1,18,0,20,3,농수축,100435,201350,1,우리바다 손질왕꼬막 24팩,0,39900,0.239597492,59050000
1,1,1,18,20,20,3,농수축,100435,201350,1,우리바다 손질왕꼬막 24팩,0,39900,0.348692459,85937000
1,1,1,18,40,20,3,농수축,100435,201350,1,우리바다 손질왕꼬막 24팩,0,39900,0.411710048,101468000
