mcode,product_name,,
100000,엘로엘 아쿠아클린 마스크,FALSE,FALSE
100001,국내생산 스텐락 심플 스텐밀폐용기 17종,FALSE,FALSE
100002,이보은의 우삽겹 12팩세트,FALSE,FALSE
100006,AAA 19 F/W 남성 트레킹화 3종,TRUE,FALSE
100006,AAA 19 F/W 여성 트레킹화 3종,FALSE,TRUE
100009,AAB의 든든한 콩국수,FALSE,FALSE
100010,AAB의 소곱창전골 800g x 8팩,FALSE,FALSE
100013,AAC한우소머리곰탕양곰탕세트,TRUE,FALSE
100013,AAC 한우소머리 곰탕,TRUE,TRUE
100013,AAC 한우소머리양곰탕,FALSE,TRUE
100015,잔다리 전두부세트,FALSE,FALSE
100016,"구워만든 곡물그대로 21, 3종 20봉",TRUE,FALSE
100016,"구워만든 곡물그대로 21, 오리지널 10봉",FALSE,TRUE
100017,[플로쥬] 트윙클 아일렛 스니커즈,FALSE,FALSE
100018,AAD 여성 소가죽 구름 샌들,TRUE,FALSE
100018,AAD 남성 소가죽 구름 샌들,FALSE,TRUE
100019,AAD 도트펀칭 컴포트 슬립온,FALSE,FALSE
100020,AAD 소가죽 올데이슬립온,FALSE,FALSE
100021,AAD 소가죽 투웨이 샌들,FALSE,FALSE
100022,AAE LA갈비 7팩,FALSE,FALSE
100023,최인선 셰프의 듬뿍 곤드레나물밥 16인분,FALSE,FALSE
100024,거미손 차량용 공기청정기,FALSE,FALSE
100025,김병지 거미손 풀확장 일체형 코일카매트,TRUE,FALSE
100025,국내제작 김병지 고밀도  풀확장 코일카매트,FALSE,TRUE
100026,궁중 손질새우 200미 + 동태포 200g,TRUE,FALSE
100026,궁중 손질새우 200미 + 동태포 400g,FALSE,TRUE
100027,궁중 해물철판 10팩,FALSE,FALSE
100028,일시불 프랑스직수입  테팔 매직핸즈 프라이팬세트,TRUE,FALSE
100028,무이자 프랑스직수입  테팔 매직핸즈 프라이팬세트,FALSE,TRUE
100029,테팔 에어포스 라이트 무선 청소기,FALSE,FALSE
100031,생쥴랑 14K 베스트 귀걸이 5종 컬렉션 (14K골드 5종),TRUE,FALSE
100031,[생쥴랑] 14K 입체 3D 체인 주얼리 11종 컬렉션,FALSE,TRUE
100032,생줄랑 14K 글로리아 목걸이 컬렉션 8종,FALSE,FALSE
100033,생쥴랑 18K 베니스 주얼리 컬렉션 11종,TRUE,FALSE
100033,생쥴랑 18K코코 천연다이아 목걸이팔찌 세트,TRUE,TRUE
100033,생쥴랑 18K코코 천연다이아 목걸이,TRUE,TRUE
100033,생쥴랑 18K코코 천연다이아 팔찌,TRUE,TRUE
100033,생쥴랑 18K 피오레 볼륨 주얼리 컬렉션 (18K 총6종),FALSE,TRUE
100034,레노마 우/양산 2종세트,TRUE,FALSE
100034,레노마 여성 양가죽/양모 장갑 2종,TRUE,TRUE
100034,레노마 남성 양가죽 장갑 2종,FALSE,TRUE
100036,구찌 씨마 베이직 양면 울 머플러,TRUE,FALSE
100036,구찌 인터로킹 GG 탑핸들 체인 숄더 라지,TRUE,TRUE
100036,구찌 인터로킹 GG 탑핸들 체인 숄더 스몰,TRUE,TRUE
100036,구찌 마이크로 씨마 GG플랩 2단 장지갑,FALSE,TRUE
100037,프라다 듀엣 선글라스,TRUE,FALSE
100037,프라다 자카드 카메라 크로스백,TRUE,TRUE
100037,프라다 더블지퍼 크로스백,TRUE,TRUE
100037,프라다 테스토 크로스백,TRUE,TRUE
100037,프라다 테스토 탑핸들 토트 숄더백,TRUE,TRUE
100037,프라다 탑핸들 토트 숄더백,TRUE,TRUE
100037,프라다 자카드 토트 숄더백,TRUE,TRUE
100037,프라다 비텔로 피닉스 토트백,TRUE,TRUE
100037,프라다 투브릿지 선글라스,TRUE,TRUE
100037,프라다 비텔로 피닉스 모터백,TRUE,TRUE
100037,프라다 비텔로 피닉스 보스턴,TRUE,TRUE
100037,프라다 미란다백,TRUE,TRUE
100037,프라다 테스토 호보백,TRUE,TRUE
100037,프라다 피닉스 토트 숄더백,TRUE,TRUE
100037,프라다 사피아노 스퀘어백,TRUE,TRUE
100037,프라다 테스토 체인 쇼퍼백,TRUE,TRUE
100037,프라다 테스토 지퍼 토트백,TRUE,TRUE
100037,프라다 비텔로 라운드 토트 숄더백,TRUE,TRUE
100037,구찌 더블G 오버 선글라스,FALSE,TRUE
100038,구찌 더블G 오버 선글라스,FALSE,FALSE
100039,버버리 홀스페리 페이톤 크로스백,TRUE,FALSE
100039,버버리 밀덴홀 체인 크로스백 미듐,FALSE,TRUE
100040,프라다 테스토 레터링 버킷백,TRUE,FALSE
100040,프라다 비텔로 피닉스 토트백,TRUE,TRUE
100040,프라다 투웨이백,TRUE,TRUE
100040,프라다 테스토 크로스백,TRUE,TRUE
100040,프라다 자카드 토트백,FALSE,TRUE
100041,[농협] 대학 찰 옥수수 10봉(30개),FALSE,FALSE
100042,알렉스하운드 썸머 기능성 멀티웨어 6종,FALSE,FALSE
100043,알렉스하운드 양모 퀼팅 패딩 자켓,TRUE,FALSE
100043,알렉스하운드 양모 퀼팅 패딩 팬츠,TRUE,TRUE
100043,알렉스하운드 양모 퀼팅 패딩 세트,FALSE,TRUE
100044,프리바이오틱스 3300 12박스(12개월분),FALSE,FALSE
100045,시크릿뮤즈 커버팩트,FALSE,FALSE
100046,고칼슘검은콩두유48팩+호두아몬드 두유48팩,FALSE,FALSE
100047,국내제조 붙이는 따스림 실크 단열벽지 20+10미터(총30미터),TRUE,FALSE
100047,국내제조 붙이는 따스림 실크 단열벽지 20미터,TRUE,TRUE
100047,국내제조 붙이는 따스림 실크 단열벽지 10미터,FALSE,TRUE
100048,"무이자 루미테라피 노즈케어 저출력광선조사기, LN-01W",TRUE,FALSE
100048,"일시불 루미테라피 노즈케어 저출력광선조사기, LN-01W",FALSE,TRUE
100049,마리노블 밍크 롱코트,TRUE,FALSE
100049,마리노블 밍크 퍼 베스트,TRUE,TRUE
100049,마리노블 밍크 롱코트(역시즌),TRUE,TRUE
100049,마리노블 밍크 퍼 베스트(역시즌),TRUE,TRUE
100049,19FW마리노블 밍크 롱코트,FALSE,TRUE
