index,max_temp_scaled,weekly,items,daily,month_category_mean_sales_AMT,price,weekofyear,mcode,accumulated_exposure_time,sim_salesAMT_new,rain_per_hour,time_hour,plus_set,상품군,xgboost,lgbm,salesAMT,xg_mape,lg_mape
31051,13.92555657,-0.148632402,6,0.333726762,30525683.64,1750000,46,100148,60,12932793.1,0,23,0,가전,13210916,13758061.61,13211000,0.000635834,4.140955323
7327,2.225556566,-0.06717408,2,0.224260812,20765840.74,49000,12,100090,60,21623111.11,0,23,0,의류,53971260,52804578.94,53967000,0.007893713,2.1539479
1542,12.22555657,-0.035936949,2,0.019091778,19176000,179000,3,100054,20,12380666.67,0,7,0,건강기능,8003713.5,8761846.673,8003000,0.008915407,9.482027647
34806,12.32555657,-0.062941971,1,-0.523428512,47363892.02,59800,52,100262,40,12862611.11,0,6,0,이미용,35977972,35558570.4,35982000,0.011194486,1.176781712
10730,1.274443434,0.184625904,2,0.533182968,21180259.42,79000,16,100374,60,14235047.62,0.2,22,0,의류,22757146,20216768.75,22761000,0.016932472,11.17802929
15460,6.174443434,-0.114400138,4,0.087602371,21399872.43,178000,23,100448,40,19708062.15,3.4,13,0,주방,11982286,11152383.98,11985000,0.022644973,6.947150783
35362,23.42555657,-0.01147721,2,0.298553202,37370636.79,1499000,1,100155,20,35404204.55,0,21,0,가전,20149286,19946702.81,20154000,0.023389898,1.028565991
30818,4.425556566,-0.079733334,1,0.214158496,51056658.68,69900,46,100118,60,11637888.89,0,16,0,이미용,43429284,39457576.18,43413000,0.037509502,9.111150619
21419,17.87444343,-0.06717408,1,0.251596545,28591673,29000,32,100455,40,22386166.67,0,9,1,의류,29758206,29621539.68,29747000,0.037671026,0.421757883
2100,12.42555657,-0.057391615,1,-0.467612803,22871352.15,29900,4,100458,60,11500666.67,0,6,1,의류,24719662,24333285.41,24710000,0.039101578,1.524543071
15033,8.874443434,0.285390468,1,-0.022637898,21399872.43,49800,22,100478,40,42517666.67,0,8,1,주방,47774268,51478797.9,47793000,0.039194024,7.712003641
11036,6.974443434,-0.083385523,1,0.200755957,17244798.05,119000,17,100517,40,17930111.11,1.9,18,0,주방,22694072,27118406.86,22685000,0.039991184,19.5433408
31030,13.92555657,-0.136017369,1,0.669989061,51056658.68,39800,46,100074,20,43035875,0,20,1,이미용,63116320,55500613.41,63144000,0.043836311,12.1046918
15781,7.574443434,0.128115419,1,0.382041875,37108629.33,39900,23,100281,50,18285010.42,1.6,20,1,속옷,25559060,23136715.66,25572000,0.050602221,9.523245492
34222,13.72555657,-0.083385523,1,0.261774292,25249327.94,109800,51,100255,20,12514666.67,0,15,0,주방,35211132,32911309.67,35192000,0.054364628,6.480706782
8945,3.225556566,-0.102704378,4,-0.070390972,16938677.63,450000,14,100182,60,2602000,0,24,0,생활용품,19682098,22501292.11,19671000,0.056418077,14.38814555
7261,2.225556566,-0.090415159,1,0.087602371,16204961.94,109800,12,100255,20,12514666.67,0,13,0,주방,17300908,15830846.59,17291000,0.057301486,8.444586234
16045,7.474443434,-0.083385523,2,0.137442451,21399872.43,129000,24,100097,60,28364000,0,9,0,주방,19784276,19283562.25,19796000,0.059224086,2.588592381
13106,3.874443434,-0.166125508,2,0.224260812,25013217.78,59000,20,100089,40,24711481.48,0,23,0,의류,18965448,19254799.91,18977000,0.060873689,1.463876851
2016,11.92555657,-0.044419378,1,-0.137797745,27110094.63,59900,4,100779,60,39499541.67,0,7,0,속옷,34246290,33083926.04,34223000,0.068053648,3.328387221
22120,16.37444343,-0.068335996,1,0.41029763,41613289.11,59900,33,100849,20,50940720,6.4,17,0,농수축,48193172,50389543.47,48157000,0.075112652,4.635968751
29552,1.325556566,-0.068335996,1,0.319832723,42026068.6,30900,44,100698,40,33440250,0.3,16,0,농수축,53676470,53544498.41,53628000,0.09038189,0.155705218
2961,14.02555657,0.230003248,1,0.239271583,24368974.19,99000,5,100742,40,27468133.33,0,9,0,잡화,47684830,45883496.71,47728000,0.09045005,3.864614671
26796,10.97444343,-0.039338791,1,-0.44033495,19459042.06,69800,40,100175,20,17373000,0,25,0,생활용품,7914907,8098839.429,7907000,0.1,2.426197413
27092,8.374443434,-0.052175291,4,0.55730061,18621258.55,78000,40,100372,40,6643746.032,2,20,0,생활용품,8576576,8621970.959,8568000,0.100093371,0.629913156
19431,10.27444343,-0.083385523,1,0.137310171,19597057.04,54800,29,100242,20,1875333.333,0.7,12,1,주방,15104448,18138477.61,15089000,0.102379217,20.20993845
5986,6.525556566,-0.044419378,1,0.313919836,24775554.74,139000,10,100607,40,11229777.78,0,9,1,속옷,51926910,47082154.42,51983000,0.10790066,9.427785204
17115,12.07444343,0.199671064,1,0.646021412,31575252.87,59000,25,100055,40,19383000,0,20,0,건강기능,38835520,36355895.22,38793000,0.109607403,6.282331289
34920,14.82555657,-0.083072095,2,0.093837524,17738822.7,49800,52,100006,20,7805772.727,0,13,0,잡화,8360905,8710596.746,8371000,0.120594911,4.05682411
6820,8.925556566,-0.057391615,2,0.44068645,20765840.74,59900,11,100377,20,9150923.077,0,20,0,의류,8152812,7353615.065,8163000,0.124807056,9.915287701
29802,1.574443434,-0.102704378,2,0.151573013,18005336.11,99000,44,100134,60,3355666.667,0,14,1,생활용품,33219616,32339850.4,33262000,0.127424689,2.772381709
4508,15.92555657,-0.090415159,1,-0.022637898,17600938.68,89800,8,100066,30,8982416.667,0,8,0,주방,20007750,20117680.73,19982000,0.128865979,0.679014745
23864,8.874443434,0.285390468,1,0.261774292,19774140.28,109800,35,100255,60,12514666.67,0,15,0,주방,91103690,86565860.64,91225000,0.132978898,5.107305405
18379,17.17444343,0.027469028,2,0.432869159,16994293.22,439000,27,100150,20,24212832.73,0,22,0,가전,20575128,17381802.16,20546000,0.141769688,15.40055406
19344,9.874443434,-0.122458668,3,0.413049582,11224098.36,59900,29,100139,60,9304880.952,4.4,11,1,침구,15367122,14932682.34,15391000,0.155142616,2.977829017
6652,11.02555657,-0.061928609,2,-0.360655115,20765840.74,59000,11,100089,56.2,12489888.89,0,25,0,의류,9214654,9485395.245,9229000,0.155444794,2.778147635
32008,12.92555657,-0.057967015,6,0.705738687,18005336.11,248000,48,100372,60,7353253.968,0,21,1,생활용품,31117290,31549236.34,31066000,0.165100109,1.555515159
5888,6.025556566,-0.100313128,1,0.370081083,24775554.74,109900,10,100780,40,25568676.47,0,10,0,속옷,33939348,31431456.14,33883000,0.166301685,7.235321141
14314,9.674443434,0.180635192,1,0.41029763,40215448.56,38900,21,100167,60,51803740.74,0,17,1,농수축,71773240,71237940.65,71651000,0.170604737,0.576487908
20673,11.07444343,-0.129815241,2,0.218500951,19597057.04,49900,31,100627,40,9311416.667,0.5,11,1,주방,19743878,19817378.12,19710000,0.171882293,0.54479004
14343,9.674443434,0.027469028,8,0.432869159,14765204.95,1700000,21,100148,40,12253136.36,0,22,0,가전,23543212,23444059.58,23584000,0.172947761,0.593370183
29200,3.074443434,-0.035936949,1,0.077353764,25279060.61,69000,43,100315,40,12944666.67,0,15,0,건강기능,27049424,32406051.2,27097000,0.175576632,19.59276377
29993,3.174443434,0.132887709,1,0.151573013,18005336.11,50800,44,100226,40,29521000,0,14,0,생활용품,43636816,46454582,43714000,0.17656586,6.269346214
24847,9.774443434,-0.046117263,1,0.270259003,17189035.5,49800,37,100232,60,18964083.33,2.6,17,0,잡화,45115900,47162595.19,45198000,0.181645206,4.346641865
35200,12.72555657,0.285390468,4,0.767861733,25249327.94,198000,52,100837,60,5158178.082,0,23,0,주방,11191768,12366696.92,11171000,0.185909945,10.70357998
27494,1.025556566,-0.129815241,4,0.709121477,18339468.33,208000,41,100837,20,13984678.08,5.6,21,0,주방,20005530,15419439.04,19968000,0.187950721,22.77925159
16511,8.274443434,0.128115419,1,0.588275586,37108629.33,119000,24,100098,40,11913111.11,0,22,0,속옷,73433310,74115685.3,73294000,0.190070129,1.121081262
1649,10.42555657,0.180635192,1,0.112445088,44839034.93,61000,3,100849,40,45227941.52,0,13,0,농수축,56135840,57719795.07,56028000,0.192475191,3.01955284
33335,10.92555657,-0.085322738,1,0.319832723,45722596.33,49900,50,100827,40,66505301.89,0,16,0,농수축,42569920,45920428.95,42488000,0.192807381,8.078584428
21838,17.57444343,0.027469028,2,0.298553202,20045550.85,1499000,32,100155,40,35404204.55,0,21,0,가전,45123936,44290300.85,45212000,0.194780147,2.038616175
3083,15.92555657,-0.057967015,1,0.312514536,25598745.9,189000,6,100501,60,18343333.33,0,19,0,생활용품,62109980,64861095.3,62234000,0.199280136,4.221318411
21104,14.17444343,0.274616167,2,-0.441693984,14093890.51,29000,31,100018,40,6225416.667,0,25,0,잡화,13817250,12880669.97,13845000,0.200433369,6.965186172
26797,10.97444343,-0.039338791,1,-0.44033495,19459042.06,69800,40,100175,40,17373000,0,25,0,생활용품,15787064,15335809.9,15819000,0.201883811,3.05449206
67,18.72555657,-0.072768893,1,-0.4581107,30856301.2,29800,1,100229,20,7078000,0,6,1,생활용품,9624670,7488604.187,9605000,0.204789172,22.03431352
22103,16.37444343,-0.068335996,1,0.324987012,41613289.11,55900,33,100202,40,30740666.67,6.4,11,1,농수축,43276692,41809293.97,43366000,0.205940137,3.589692455
968,10.92555657,0.184754912,1,-0.137797745,27110094.63,59900,2,100779,20,39499541.67,0,7,0,속옷,16999876,15176417.54,16962000,0.223299139,10.5269571
13399,11.07444343,-0.064480057,1,0.12774552,32002723.34,39900,20,100281,40,18285010.42,0,19,1,속옷,25736796,26193726.42,25676000,0.23678143,2.01638269
4074,12.62555657,-0.061917881,6,0.699480095,13707665.07,549000,7,100500,60,13828026.32,0,22,0,가구,7054890.5,9183974.751,7072000,0.241932975,29.86389636
17745,9.574443434,0.285390468,4,0.336260727,21399872.43,178000,26,100448,40,19708062.15,0,16,0,주방,12620672,12360353.02,12590000,0.243621922,1.824042743
18137,13.87444343,-0.057391615,2,0.229746207,28460266.9,59000,27,100089,40,16709333.33,0,14,0,의류,16570070,17287974.86,16611000,0.246402986,4.075461217
30303,2.425556566,-0.083385523,4,0.709121477,23444860.13,208000,45,100837,20,5165338.028,0,21,0,주방,3975130.5,3891673.76,3985000,0.247666248,2.341938279
13901,4.874443434,-0.068335996,1,0.41029763,40215448.56,38900,21,100167,20,51803740.74,0,17,1,농수축,40305590,39724736.96,40407000,0.250971366,1.688477343
6160,6.225556566,-0.104576464,1,0.834776921,36274390.48,40900,10,100702,60,17032800,0,23,1,농수축,51173096,57175316.53,51040000,0.260768025,12.02060448
3953,16.42555657,-0.083795843,1,0.387050417,42765882.56,39900,7,100435,60,33518000,0,18,0,농수축,65421660,65925500.8,65595000,0.264257946,0.503850597
26631,9.674443434,0.128115419,1,0.310867658,17447453.2,39900,39,100281,20,18285010.42,0,11,1,속옷,19552638,21349566,19501000,0.264796677,9.479339508
8081,2.725556566,-0.083385523,4,0.767861733,16204961.94,208000,13,100837,40,8439518.519,0,23,0,주방,13040194,14030848.11,13075000,0.266202677,7.310501768
29617,1.225556566,-0.083385523,1,0.087602371,18339468.33,109800,44,100255,40,12514666.67,0,13,0,주방,46720508,49873969.95,46594000,0.271511353,7.039468484
13385,11.07444343,-0.114400138,1,0.261774292,18585525.42,109800,20,100255,60,12514666.67,0,15,0,주방,63688104,63321055.64,63871000,0.286352179,0.861023562
15873,2.974443434,-0.041572171,2,0.12774552,37108629.33,69000,24,100618,40,9287629.63,3.5,19,1,속옷,9623504,10881223.93,9596000,0.286619425,13.39332985
31329,6.225556566,-0.041572171,1,0.125426597,25777141.76,79900,47,100277,40,34578166.67,0,8,0,속옷,34656316,34671778.63,34760000,0.298285386,0.253801415
25627,7.074443434,0.030412354,1,-0.444478125,25001906.67,99000,38,100220,60,9191666.667,0,6,0,건강기능,29514206,27015127.14,29426000,0.299755318,8.193002301
29588,1.325556566,-0.079733334,1,0.220147986,34946095.54,69900,44,100244,40,13106666.67,0.3,23,0,이미용,34635630,35987789.66,34741000,0.303301575,3.5888134
30281,2.425556566,-0.083795843,1,0.153863859,44676813.81,58900,45,100849,40,45227941.52,0,15,0,농수축,49858980,48756784.92,49706000,0.307769686,1.909658964
22690,12.37444343,-0.129815241,2,0.087602371,20216423.08,129000,34,100097,20,28364000,0,13,0,주방,6454783.5,7257145.235,6476000,0.327617356,12.0621562
8864,3.225556566,-0.064480057,1,0.310867658,25986252.87,89000,14,100305,60,66223208.33,0,11,0,속옷,50634892,53681611.18,50465000,0.336653126,6.373944668
